Product ID,Category,Observation_Days,Total_Units_Sold,Avg_Inventory,Total_Units_Ordered,Avg_Daily_Units_Sold,Avg_Price,Total_Demand,Avg_Discount,Promotion_Days,Stockout_Days,Turnover_Ratio,Annualized_Turnover,Sell_Through_vs_Orders,Avg_Inventory_Value,Stockout_Rate,Movement_Class,Turnover_Rank
P0005,Electronics,760,64867,505.91315789473686,65692,85.35131578947369,86.2274605263158,73183,9.368421052631579,250,2,128.2176574927047,61.62039394632946,0.9874413931681179,43623.60685211219,0.002631578947368421,Critical Slow Mover,1
P0017,Furniture,760,48824,370.62368421052633,49317,64.2421052631579,112.59767105263157,55077,8.901315789473685,250,3,131.73470039833282,63.31065700064614,0.9900034470872113,41731.36367905125,0.003947368421052632,Critical Slow Mover,2
P0005,Toys,760,61601,465.8013157894737,62022,81.05394736842105,20.87123684210526,69612,9.085526315789474,250,5,132.24737224194865,63.55704304127862,0.9932120860339879,9721.84958320637,0.006578947368421052,Critical Slow Mover,3
P0010,Furniture,760,49267,350.8013157894737,49529,64.825,118.7481052631579,55265,8.986842105263158,250,3,140.44132043554418,67.49498985405594,0.9947101697995114,41656.991573822714,0.003947368421052632,Critical Slow Mover,4
P0014,Electronics,760,61899,439.6434210526316,62320,81.44605263157895,115.10948684210527,70652,9.197368421052632,250,7,140.79364556802912,67.664314531214,0.9932445442875482,50607.12859087604,0.009210526315789473,Critical Slow Mover,5
P0003,Clothing,760,82721,570.4236842105263,83570,108.84342105263158,55.99678947368421,93735,8.967105263157896,250,5,145.01676962184158,69.6939146110232,0.9898408519803757,31941.894955540163,0.006578947368421052,Critical Slow Mover,6
P0011,Clothing,760,73231,495.53026315789475,73558,96.35657894736842,58.45469736842105,83895,8.671052631578947,250,4,147.78310316168483,71.02339267079657,0.9955545283993583,28966.071569788783,0.005263157894736842,Critical Slow Mover,7
P0015,Clothing,760,71402,477.26184210526316,72279,93.95,66.1757105263158,81652,9.31578947368421,250,8,149.6076025794072,71.90023268701115,0.9878664619045643,31583.14150841413,0.010526315789473684,Slow Mover,8
P0020,Clothing,760,73031,478.8578947368421,73456,96.09342105263158,72.43021052631579,83340,9.019736842105264,250,9,152.5107987206401,73.29548583251817,0.9942142234807232,34683.77812797784,0.011842105263157895,Slow Mover,9
P0015,Furniture,760,49667,301.03815789473686,49666,65.35131578947369,90.11668421052633,56014,8.894736842105264,250,1,164.98572920900918,79.29083893893501,1.0000201344984496,27128.560610318564,0.0013157894736842105,Slow Mover,10
P0007,Toys,760,61349,366.75131578947367,61404,80.72236842105264,26.247644736842105,69818,9.118421052631579,250,4,167.27683680681375,80.39192716274832,0.9991042928799426,9626.358243611496,0.005263157894736842,Slow Mover,11
